2008-03-14,Пермский МО   ,0,0,0,0,1,0
2012-12-18,ГО город Березники,0,0,0,0,1,0
2012-12-31,Пермский ГО   ,0,0,0,0,1,0
2013-01-01,ГО город Березники   ,1,0,0,0,0,0
2013-01-01,Губахинский ГО,1,0,0,0,0,0
2013-01-01,Добрянский ГО ,0,0,0,0,1,0
2013-01-01,Ильинский ГО ,1,0,0,0,0,0
2013-01-01,Карагайский МО ,0,0,0,0,0,1
2013-01-01,Карагайский МО   ,1,0,0,0,0,0
2013-01-01,Куединский МО   ,1,0,0,0,0,0
2013-01-01,Осинский ГО   ,1,0,0,0,0,0
2013-01-01,Пермский ГО   ,1,0,0,0,0,0
2013-01-01,Пермский ГО   ,1,0,0,0,0,0
2013-01-01,Пермский ГО   ,1,0,0,0,0,0
2013-01-01,Пермский ГО   ,1,0,0,0,0,0
2013-01-01,Пермский МО ,0,0,0,0,0,1
2013-01-01,Соликамский ГО ,0,0,0,0,1,0
2013-01-01,Юрлинский МО ,0,0,0,0,0,1
2013-01-02,Карагайский МО   ,1,0,0,0,0,0
2013-01-02,Кунгурский МО   ,1,0,0,0,0,0
2013-01-02,Пермский ГО   ,1,0,0,0,0,0
2013-01-02,Пермский МО   ,1,0,0,0,0,0
2013-01-02,Чернушинский ГО ,0,0,0,0,1,0
2013-01-02,Чусовской ГО   ,1,0,0,0,0,0
2013-01-03,Губахинский ГО   ,1,0,0,0,0,0
2013-01-03,Пермский ГО   ,1,0,0,0,0,0
2013-01-04,Кочевский МО   ,1,0,0,0,0,0
2013-01-04,Пермский ГО   ,1,0,0,0,0,0
2013-01-04,Пермский ГО   ,1,0,0,0,0,0
2013-01-04,Пермский ГО   ,1,0,0,0,0,0
2013-01-04,Пермский МО   ,1,0,0,0,0,0
2013-01-04,Чусовской ГО   ,1,0,0,0,0,0
2013-01-05,ГО город Березники   ,1,0,0,0,0,0
2013-01-05,Нытвенский  ГО   ,1,0,0,0,0,0
2013-01-05,Нытвенский  ГО   ,1,0,0,0,0,0
2013-01-05,Нытвенский  ГО   ,1,0,0,0,0,0
2013-01-05,Нытвенский ГО ,1,0,0,0,0,0
2013-01-05,Очерский ГО   ,1,0,0,0,0,0
2013-01-05,Пермский ГО   ,1,0,0,0,0,0
2013-01-05,Пермский МО   ,1,0,0,0,0,0
2013-01-05,Пермский МО   ,1,0,0,0,0,0
2013-01-05,Соликамский ГО   ,1,0,0,0,0,0
2013-01-06,Бардымский МО   ,1,0,0,0,0,0
2013-01-06,ГО город Березники   ,1,0,0,0,0,0
2013-01-06,Губахинский ГО   ,1,0,0,0,0,0
2013-01-06,Добрянский ГО   ,1,0,0,0,0,0
